Year,Make,Model,Condition,Price,Consumer_Rating,,,,,,,,,,
2023,Honda,Ridgeline RTL,New,"$44,370 ",4.5,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport Touring,New,"$39,845 ",4.8,,,,,,,,,,
2023,Honda,HR-V EX-L,New,"$29,650 ",5,,,,,,,,,,
2023,Honda,Pilot Touring,New,"$50,350 ",5,,,,,,,,,,
2022,Honda,Pilot Sport,New,"$39,375 ",5,,,,,,,,,,
2022,Honda,Pilot Sport,New,"$41,375 ",5,,,,,,,,,,
2022,Honda,Pilot Touring 7-Passenger,New,"$46,860 ",4.9,,,,,,,,,,
2023,Honda,Pilot Touring 8-Passenger,New,"$50,350 ",4.7,,,,,,,,,,
2022,Honda,Accord Hybrid Sport,New,"$32,560 ",4.9,,,,,,,,,,
2022,Honda,Accord Hybrid Sport,New,"$32,560 ",5,,,,,,,,,,
2022,Honda,Pilot TrailSport,New,"$46,500 ",5,,,,,,,,,,
2022,Honda,Accord Sport SE,New,"$33,955 ",5,,,,,,,,,,
2023,Honda,Passport TrailSport,New,"$45,290 ",4.8,,,,,,,,,,
2022,Honda,Pilot Sport,New,"$40,270 ",4.8,,,,,,,,,,
2022,Honda,Pilot Sport,New,"$40,770 ",3.7,,,,,,,,,,
2022,Honda,Pilot TrailSport,New,"$46,500 ",3.7,,,,,,,,,,
2022,Honda,Pilot EX-L,New,"$43,605 ",3.7,,,,,,,,,,
2022,Honda,Accord Hybrid Sport,New,"$34,555 ",4.7,,,,,,,,,,
2022,Honda,HR-V EX,New,"$28,190 ",4.7,,,,,,,,,,
2022,Honda,Pilot TrailSport,New,"$46,500 ",4.8,,,,,,,,,,
2023,Honda,CR-V EX-L,New,"$36,900 ",4.7,,,,,,,,,,
